식사시간,지역,세부지역,성별,연령대,결혼유무,자녀유무,거주유무,결제업종,총결제금액,결제개수,기온,강수량,적설량,전운량,날씨_구름,날씨_비,날씨_눈
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.5748502994011976,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.5748502994011976,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.5029940119760479,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.5029940119760479,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,0.0,0.6,0.1111111111111111,0.0,1.0,한식,0.25295343988881164,0.07964601769911504,0.4730538922155688,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.1111111111111111,0.0,1.0,한식,0.12056984016678249,0.07964601769911504,0.4730538922155688,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.6227544910179641,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.6467065868263473,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.5988023952095808,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.5508982035928143,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.5209580838323353,0.0,1.0,0.0,2,0,0
3,전라북도,전주시완산구,1.0,0.8000000000000002,0.0,0.0,1.0,한식,0.5198054204308548,0.6106194690265486,0.43113772455089816,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,한식,0.23002084781097987,0.24778761061946902,0.688622754491018,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,0.0,한식,0.28005559416261294,0.39823008849557523,0.688622754491018,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,한식,0.23002084781097987,0.24778761061946902,0.6826347305389221,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,0.0,한식,0.28005559416261294,0.39823008849557523,0.6826347305389221,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,한식,0.23002084781097987,0.24778761061946902,0.562874251497006,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,0.0,한식,0.28005559416261294,0.39823008849557523,0.562874251497006,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.8000000000000002,0.0,0.0,1.0,한식,0.23002084781097987,0.24778761061946902,0.4850299401197604,0.0,1.0,0.0,2,0,0
3,전라북도,전주시덕진구,0.0,0.6,0.0,0.0,0.0,한식,0.28005559416261294,0.39823008849557523,0.4850299401197604,0.0,1.0,0.0,2,0,0
